=============Wed Jul 29 2020 15:43:04 GMT+1000 (Australian Eastern Standard Time)=============
AAPL,639.64,33.51,331.059169348551
MTCH,170.57,34.15,92.66402061637717
CHDN,228.11,36.98,128.41275518315183
ZNGA,17.44,37.82,9.143380765914916
MA,563.59,37.88,304.9894867904431
MA,563.59,37.88,304.9894867904431
COUP,550.40,38.88,319.6361751010736
EA,271.04,43.41,138.63838387034704
MSFT,411.24,44.17,215.00495852080724
KNSL,335.40,44.31,184.55445576749995
CGNX,132.61,44.66,75.08526788391924
DPZ,794.47,44.94,414.2249008878666
LULU,679.74,46.30,379.89857442775036
NVDA,882.62,47.85,481.62540134062976
PYPL,384.08,48.39,210.64557748808932
FB,513.41,49.86,269.51943122161003
MKTX,1211.52,53.81,673.966571391926
PAYC,712.25,56.52,399.6691724661737
GLOB,425.35,58.57,238.04746418153508
ATVI,216.20,61.22,112.86833384250272
TEAM,508.95,63.43,291.50626966342304
ASML,1073.66,65.13,587.5685970588768
TTD,1318.21,71.15,755.0278727213542
NOW,1477.94,75.99,838.4607780330269
STAA,207.17,81.14,120.4224193141667
STAA,207.17,81.14,120.4224193141667
AMZN,11564.00,83.83,6627.870002417063
DOCU,765.00,84.38,443.21643416800663
NFLX,2198.04,93.45,1238.2563413310277
AMD,327.13,97.96,183.4525467684163
ZM,1284.89,101.17,739.4055940089257
ETSY,581.33,107.86,330.9423976988432
NTES,3767.35,131.99,2149.743731088831
JD,570.05,138.36,328.845677136001
NVCR,708.92,146.02,412.29339647999996
SHOP,22838.69,195.32,13300.426518233025
TSLA,5505189.64,510.97,3188602.9195004236
=============Thu Jul 30 2020 21:52:12 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26,11.356352477604162
DIS,116.31,0.07,64.68417983107824
MMM,174.12,7.10,80.8983652135937
SBUX,88.50,10.59,49.089758436788856
GOOG,2044.84,19.24,1072.4637421911157
EPR,44.64,20.59,23.136258648409253
ZTS,207.27,21.78,110.9702524853067
QDEL,364.10,22.14,189.9417828476703
NEE,414.44,24.36,213.6677405045133
ANET,356.98,24.45,182.70558568159424
ICE,141.41,26.09,68.59179547102752
HAS,111.00,26.54,54.59217944637017
BAM,53.15,27.65,27.243880386644253
GMED,80.33,31.07,43.9220423176306
WD,83.51,32.08,34.070392895000005
AAPL,639.64,33.51,331.059169348551
MTCH,170.57,34.15,92.66402061637717
CHDN,228.11,36.98,128.41275518315183
ZNGA,17.44,37.82,9.143380765914916
MA,563.59,37.88,304.9894867904431
MA,563.59,37.88,304.9894867904431
COUP,550.40,38.88,319.6361751010736
EA,271.04,43.41,138.63838387034704
MSFT,411.24,44.17,215.00495852080724
KNSL,335.40,44.31,184.55445576749995
CGNX,132.61,44.66,75.08526788391924
DPZ,794.47,44.94,414.2249008878666
LULU,679.74,46.30,379.89857442775036
NVDA,882.62,47.85,481.62540134062976
PYPL,384.08,48.39,210.64557748808932
FB,513.41,49.86,269.51943122161003
MKTX,1211.52,53.81,673.966571391926
PAYC,712.25,56.52,399.6691724661737
GLOB,425.35,58.57,238.04746418153508
ATVI,216.20,61.22,112.86833384250272
TEAM,508.95,63.43,291.50626966342304
ASML,1073.66,65.13,587.5685970588768
TTD,1318.21,71.15,755.0278727213542
NOW,1477.94,75.99,838.4607780330269
STAA,207.17,81.14,120.4224193141667
STAA,207.17,81.14,120.4224193141667
AMZN,11564.00,83.83,6627.870002417063
DOCU,765.00,84.38,443.21643416800663
NFLX,2198.04,93.45,1238.2563413310277
AMD,327.13,97.96,183.4525467684163
ZM,1284.89,101.17,739.4055940089257
ETSY,581.33,107.86,330.9423976988432
NTES,3767.35,131.99,2149.743731088831
JD,570.05,138.36,328.845677136001
NVCR,708.92,146.02,412.29339647999996
SHOP,22838.69,195.32,13300.426518233025
TSLA,5505189.64,510.97,3188602.9195004236
=============Thu Jul 30 2020 21:58:31 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26
DIS,116.31,0.07
MMM,174.12,7.10
